team_id,name_zh,name_en
algeria,阿尔及利亚,Algeria
angola,安哥拉,Angola
argentina,阿根廷,Argentina
australia,澳大利亚,Australia
austria,奥地利,Austria
belgium,比利时,Belgium
bolivia,玻利维亚,Bolivia
bosnia_and_herzegovina,波黑,Bosnia & Herzegovina
bosnia_herzegovina,波黑,Bosnia-Herzegovina
brazil,巴西,Brazil
bulgaria,保加利亚,Bulgaria
cameroon,喀麦隆,Cameroon
canada,加拿大,Canada
cape_verde,佛得角,Cape Verde
chile,智利,Chile
china,中国,China
colombia,哥伦比亚,Colombia
costa_rica,哥斯达黎加,Costa Rica
croatia,克罗地亚,Croatia
cuba,古巴,Cuba
cura_ao,库拉索,Curaçao
czech_republic,捷克,Czech Republic
czechoslovakia,捷克斯洛伐克,Czechoslovakia
c_te_d_ivoire,科特迪瓦,Côte d'Ivoire
dr_congo,刚果（金）,DR Congo
denmark,丹麦,Denmark
dutch_east_indies,荷属东印度,Dutch East Indies
east_germany,东德,East Germany
ecuador,厄瓜多尔,Ecuador
egypt,埃及,Egypt
el_salvador,萨尔瓦多,El Salvador
england,英格兰,England
france,法国,France
germany,德国,Germany
ghana,加纳,Ghana
greece,希腊,Greece
haiti,海地,Haiti
honduras,洪都拉斯,Honduras
hungary,匈牙利,Hungary
iceland,冰岛,Iceland
iran,伊朗,Iran
iraq,伊拉克,Iraq
ireland,爱尔兰,Ireland
israel,以色列,Israel
italy,意大利,Italy
ivory_coast,科特迪瓦,Ivory Coast
jamaica,牙买加,Jamaica
japan,日本,Japan
jordan,约旦,Jordan
kuwait,科威特,Kuwait
mexico,墨西哥,Mexico
morocco,摩洛哥,Morocco
netherlands,荷兰,Netherlands
new_zealand,新西兰,New Zealand
nigeria,尼日利亚,Nigeria
north_korea,朝鲜,North Korea
northern_ireland,北爱尔兰,Northern Ireland
norway,挪威,Norway
panama,巴拿马,Panama
paraguay,巴拉圭,Paraguay
peru,秘鲁,Peru
poland,波兰,Poland
portugal,葡萄牙,Portugal
qatar,卡塔尔,Qatar
romania,罗马尼亚,Romania
russia,俄罗斯,Russia
saudi_arabia,沙特阿拉伯,Saudi Arabia
scotland,苏格兰,Scotland
senegal,塞内加尔,Senegal
serbia,塞尔维亚,Serbia
serbia_and_montenegro,塞尔维亚和黑山,Serbia and Montenegro
slovakia,斯洛伐克,Slovakia
slovenia,斯洛文尼亚,Slovenia
south_africa,南非,South Africa
south_korea,韩国,South Korea
soviet_union,苏联,Soviet Union
spain,西班牙,Spain
sweden,瑞典,Sweden
switzerland,瑞士,Switzerland
togo,多哥,Togo
trinidad_and_tobago,特立尼达和多巴哥,Trinidad and Tobago
tunisia,突尼斯,Tunisia
turkey,土耳其,Turkey
usa,美国,USA
ukraine,乌克兰,Ukraine
united_arab_emirates,阿联酋,United Arab Emirates
united_states,美国,United States
uruguay,乌拉圭,Uruguay
uzbekistan,乌兹别克斯坦,Uzbekistan
wales,威尔士,Wales
west_germany,西德,West Germany
yugoslavia,南斯拉夫,Yugoslavia
zaire,扎伊尔,Zaire
